treat,age,ed,black,hisp,married,nodeg,re74,re75,re78,age2
1,37,11,1,0,1,1,0,0,9930.0459,1369
1,22,9,0,1,0,1,0,0,3595.894,484
1,30,12,1,0,0,0,0,0,24909.449,900
1,27,11,1,0,0,1,0,0,7506.146,729
1,33,8,1,0,0,1,0,0,289.78989,1089
1,22,9,1,0,0,1,0,0,4056.4939,484
1,23,12,1,0,0,0,0,0,0,529
1,32,11,1,0,0,1,0,0,8472.1582,1024
1,22,16,1,0,0,0,0,0,2164.022,484
1,33,12,0,0,1,0,0,0,12418.07,1089
1,19,9,1,0,0,1,0,0,8173.9082,361
1,21,13,1,0,0,0,0,0,17094.641,441
1,18,8,1,0,0,1,0,0,0,324
1,27,10,1,0,1,1,0,0,18739.93,729
1,17,7,1,0,0,1,0,0,3023.8789,289
1,19,10,1,0,0,1,0,0,3228.5029,361
1,27,13,1,0,0,0,0,0,14581.86,729
1,23,10,1,0,0,1,0,0,7693.3999,529
1,40,12,1,0,0,0,0,0,10804.32,1600
1,26,12,1,0,0,0,0,0,10747.35,676
1,23,11,1,0,0,1,0,0,0,529
1,41,14,0,0,0,0,0,0,5149.501,1681
1,38,9,0,0,0,1,0,0,6408.9502,1444
1,24,11,1,0,0,1,0,0,1991.4,576
1,18,10,1,0,0,1,0,0,11163.17,324
1,29,11,1,0,1,1,0,0,9642.999,841
1,25,11,1,0,0,1,0,0,9897.0488,625
1,27,10,0,1,0,1,0,0,11142.87,729
1,17,10,1,0,0,1,0,0,16218.04,289
1,24,11,1,0,0,1,0,0,995.7002,576
1,17,10,1,0,0,1,0,0,0,289
1,48,4,1,0,0,1,0,0,6551.5918,2304
1,25,11,1,0,1,1,0,0,1574.424,625
1,20,12,1,0,0,0,0,0,0,400
1,25,12,1,0,0,0,0,0,3191.7529,625
1,42,14,1,0,0,0,0,0,20505.93,1764
1,25,5,1,0,0,1,0,0,6181.8799,625
1,23,12,1,0,1,0,0,0,5911.5508,529
1,46,8,1,0,1,1,0,0,3094.156,2116
1,24,10,1,0,0,1,0,0,0,576
1,21,12,1,0,0,0,0,0,1254.582,441
1,19,9,0,0,0,1,0,0,13188.83,361
1,17,8,1,0,0,1,0,0,8061.4849,289
1,18,8,0,1,1,1,0,0,2787.96,324
1,20,11,1,0,0,1,0,0,3972.54,400
1,25,11,1,0,1,1,0,0,0,625
1,17,8,1,0,0,1,0,0,0,289
1,17,9,1,0,0,1,0,0,0,289
1,25,5,1,0,0,1,0,0,12187.41,625
1,23,12,1,0,0,0,0,0,4843.1758,529
1,28,8,1,0,0,1,0,0,0,784
1,31,11,1,0,1,1,0,0,8087.4868,961
1,18,11,1,0,0,1,0,0,0,324
1,25,12,1,0,0,0,0,0,2348.9729,625
1,30,11,1,0,1,1,0,0,590.7818,900
1,17,10,1,0,0,1,0,0,0,289
1,37,9,1,0,0,1,0,0,1067.506,1369
1,41,4,1,0,1,1,0,0,7284.9858,1681
1,42,14,1,0,1,0,0,0,13167.52,1764
1,22,11,0,0,0,1,0,0,1048.432,484
1,17,8,1,0,0,1,0,0,0,289
1,29,8,1,0,0,1,0,0,1923.938,841
1,35,10,1,0,0,1,0,0,4666.2358,1225
